value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id	cluster
3.294666374	82	Xe	Control	1	Control	C01R01	C01R01_0082	1
3.31007789	83	Xe	Control	1	Control	C01R01	C01R01_0083	1
3.306133213	84	Xe	Control	1	Control	C01R01	C01R01_0084	1
3.297911108	85	Xe	Control	1	Control	C01R01	C01R01_0085	1
3.306505144	86	Xe	Control	1	Control	C01R01	C01R01_0086	1
3.299697484	87	Xe	Control	1	Control	C01R01	C01R01_0087	1
3.3046416	88	Xe	Control	1	Control	C01R01	C01R01_0088	1
3.304740248	89	Xe	Control	1	Control	C01R01	C01R01_0089	1
3.315220413	90	Xe	Control	1	Control	C01R01	C01R01_0090	1
3.303871809	91	Xe	Control	1	Control	C01R01	C01R01_0091	1
3.312341831	92	Xe	Control	1	Control	C01R01	C01R01_0092	1
3.297264402	93	Xe	Control	1	Control	C01R01	C01R01_0093	1
3.310402185	94	Xe	Control	1	Control	C01R01	C01R01_0094	1
3.317543262	95	Xe	Control	1	Control	C01R01	C01R01_0095	1
3.311734939	96	Xe	Control	1	Control	C01R01	C01R01_0096	1
3.303213541	97	Xe	Control	1	Control	C01R01	C01R01_0097	1
3.312945702	98	Xe	Control	1	Control	C01R01	C01R01_0098	1
3.320268349	99	Xe	Control	1	Control	C01R01	C01R01_0099	1
3.31218865	100	Xe	Control	1	Control	C01R01	C01R01_0100	1
3.315050971	101	Xe	Control	1	Control	C01R01	C01R01_0101	1
3.316791137	102	Xe	Control	1	Control	C01R01	C01R01_0102	1
3.30568471	103	Xe	Control	1	Control	C01R01	C01R01_0103	1
3.311699128	104	Xe	Control	1	Control	C01R01	C01R01_0104	1
3.314303946	105	Xe	Control	1	Control	C01R01	C01R01_0105	1
3.324600208	106	Xe	Control	1	Control	C01R01	C01R01_0106	1
3.315775422	107	Xe	Control	1	Control	C01R01	C01R01_0107	1
3.318348794	108	Xe	Control	1	Control	C01R01	C01R01_0108	1
3.316185211	109	Xe	Control	1	Control	C01R01	C01R01_0109	1
3.320708851	110	Xe	Control	1	Control	C01R01	C01R01_0110	1
